n_matrices,SCM,LW_linear,OAS,LW_nonlinear,RMT
3,88.14236628731494,47.61653625682301,48.21741743633283,25.781435406514394,37.04929815652187
5,72.36466180184122,47.16127264338186,47.94354162908277,22.415176648313526,19.75690918804301
20,56.30335949852532,46.971955455792965,47.602289937688056,18.561328746014254,4.311327758967775
30,55.212241478331855,47.07580814053331,47.69054712492093,18.206866829575628,2.869768897138809
40,54.49504924109105,47.07433334534571,47.747368375018894,18.005395157764585,2.097631418966072
60,54.35583720862627,46.931717258741365,47.613715751984465,18.071991157127627,1.3954328416280706
80,53.98645699622762,47.043024846451864,47.73780598133055,18.054049654762743,1.0440304441855328
100,53.78188089835279,47.07992384251029,47.77006469283329,17.817573327962688,0.8425794364352853
1000,52.88423171202351,47.2703348549419,47.947629843197,17.928672582936652,0.09584773372840567
