n_matrices,SCM,LW_linear,OAS,LW_nonlinear,RMT
3,101.68201754882047,50.939940127212694,51.55432176812937,31.062090165934066,43.01349142355462
5,81.25986704775386,49.631305562104025,50.25879488812184,26.08222720301394,22.765811659905744
20,60.5980312773159,48.48992859256429,49.04831587071138,20.35827991081111,4.846749453587721
30,58.544437559670456,48.050404390830174,48.80340041709634,19.830233728877584,3.1545786374640024
40,57.592681963751055,47.97636944526779,48.644621432293356,19.582057405586788,2.354086271830605
60,56.57847769061008,47.85940045272937,48.553457698360106,19.13405770611544,1.578248388631105
80,55.687197064634695,47.801684694259414,48.474554108245194,18.985888150391737,1.1714508561053678
100,55.88907109152694,47.755608366878874,48.41865908139446,18.80264047640279,0.9445824704961311
1000,54.17278331232106,47.47277626545292,48.16905005556039,18.279792639543306,0.10803128526823703
