,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_linear,20.239853481023736,14.35171896154722,9.427364385941036,6.708107833600825,7.71706356391931,8.82302440612238,8.228425312158627,7.968116310194478,7.8981056492448705,7.874054115820922,7.871361350244325,7.8698057885548405,7.872390705420177,7.879460891663513,7.889176590942869,7.895571369823188,7.932169533744474,7.890143910246685,7.847054800476402,7.8180478980771,7.837801643943834,7.843229452196553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_nonlinear,20.239853481023736,12.48352234981167,4.285738788038384,1.9042857429386617,1.3207120489367858,0.24226287438092825,0.05314709408393858,0.12704476063526263,0.09921536140087835,0.07450886453134883,0.0717695362631385,0.07142382459457355,0.07220020701762146,0.07314000372484704,0.0741684571737976,0.06159692471262416,0.0604559051427624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS,20.239853481023736,14.393686139360966,9.655800164610955,6.813598013109733,7.822757040300369,9.01606326956083,8.50892178606761,8.149520546303439,8.060571147441346,8.035541340083313,8.031787104857038,8.029630924430677,8.031461460449645,8.033306749991143,8.035902068786289,8.054706721758805,8.071521764449487,8.073363623589271,8.030463634742336,7.861101835149417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT,20.239853481023736,12.488738342483149,4.481469680843298,4.276945519186369,4.034156294358822,3.13139710017079,1.870744017778094,0.8862430893488429,0.43609216307706705,0.09852452091961378,0.038389553128929596,0.015554791013729644,0.012048253468659988,0.011325786926661184,0.011079982752734249,0.010977977753939312,0.010940426415425836,0.010913817877842995,0.010933662976575827,0.010958261057251723,0.010972253457086988,0.011022850395900981,0.011001108409473975,0.010976694401158301,0.010972228718372909,0.010964213985524808,0.010977270790253256,0.010909501519269036,0.01091745375818769,0.010842745060127392,0.01095878312240105,0.010826933317379635,0.010797332658020263,0.010842628061667216,0.010802985229372716,0.010838291102218298,0.010858184752765223,0.010975528603506238,0.010912085711161796,0.010809921687282977,0.010803246770508416,0.010840883701272572,0.010729819045141288,0.010553631765425082,0.01053514800027966,0.01072310851948333,0.010728522247518009,0.010517701813014906,0.010728029431908445,0.010901198416459026,0.011007654820625335,0.011013785213468326,0.011009346771524585,0.011037788790472833,0.011120372044841332,0.011045510919412726,0.011044313738993863,0.011048398591113177,0.01105187979159921,0.011050961387017026,0.010988692763062476,0.011054154761620909,0.010868118413887764,0.010437634782733539,0.010439827298293618,0.010441254477482355,0.010567008835190744,0.010903209707992214,0.010441159029608635,0.010442647753108252,0.010321808942835825,0.010401442524666312,0.010454866094773333,0.010037453678728794,0.010073710632508068,0.010100437722215302,0.009993054986753389,0.010144746902354626,0.01029076520234353,0.0103176792360954,0.010357561934498754,0.010411073696897574,0.010451062305339579,0.010740679365161362,0.010809873065049897,0.010878952828411047,0.010358595718003936,0.008989157374766552,0.009006629689877001,0.009040917389366744,0.008770356169006498,0.008790576346048764,0.008948890917018597,0.008948225932099636,0.009099865068258425,0.009099229505775854,0.009098379360510288,0.009403238110750663,0.009402633225077851,0.009554892158382287,0.009553805256408632
SCM,20.239853481023736,12.511526503626415,4.867146478492424,3.238433544441206,2.966664073833394,2.6111422529282757,1.3644632070686673,0.5683799203215044,0.2242409105342848,0.07773467653261085,0.04508155727201436,0.03979238139478163,0.03786019359070192,0.03662136657339755,0.03638255014071532,0.03581288306410626,0.03506420188710334,0.0336857257021297,0.03646518958198452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
