,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_linear,20.239853481023736,14.30623849429962,9.17838568265031,6.4527187500767305,6.988550198049705,7.996044264992834,7.642743374910521,7.691946740059918,7.675955185534111,7.68002385451216,7.681339338321553,7.6866726890049435,7.689689037069835,7.698493437618556,7.703862760471354,7.7180002118770785,7.717190690199584,7.730922313485285,7.742443893958004,7.729998767054675,7.837801643943834,7.843229452196553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_nonlinear,20.239853481023736,12.480841645035778,4.193694595930883,1.8727458359515883,1.2597449944867967,0.22665933306569422,0.04123788725004684,0.08343660859353665,0.05380655499842351,0.05450783872199359,0.05431109382826424,0.055591762541283826,0.05656982430904316,0.057975123001893426,0.059563805812794454,0.05480554393887464,0.05433564615397203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS,20.239853481023736,14.353491858304022,9.435359189454058,6.561811316324435,7.059771298739388,8.149443806864038,7.833895598828848,7.871901383101016,7.855377278243569,7.85934714821872,7.86297345813823,7.8665690625884634,7.8697230320846305,7.872093416720887,7.872082125182058,7.874546933643871,7.895442151846733,7.8879900266939,7.876179200092698,7.861101835149417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT,20.239853481023736,12.48494549857539,4.389854462104536,3.788907628623717,2.6537930399971446,1.342999057298669,0.6607555262433559,0.2352021043451847,0.08360894347705213,0.03283922125804221,0.015238378274388165,0.00913757710183963,0.007339537734095904,0.006752202934041327,0.006544529007702964,0.006506677002313307,0.006499727046165539,0.006500459501537166,0.006510110097236353,0.006511820357247317,0.006514980298147944,0.006524224630823652,0.006524625553530899,0.006528233402442161,0.006526169801386638,0.006523081854801456,0.006525892363388595,0.006529438067806156,0.006527947691856982,0.006513826016844367,0.006524449935478973,0.006491568185976078,0.006502687313770069,0.006500372429096142,0.00647685030935553,0.0064625218051828585,0.006492533507727022,0.00650107703639765,0.006509673971110649,0.006472392009978009,0.006489365482120386,0.006488609428624288,0.006456910289123558,0.006412594076206429,0.006423764614895965,0.006426190249813994,0.006416601870115095,0.0063582915716695445,0.006379229041016425,0.006419947816971443,0.0064033140079204865,0.006398928380642572,0.006397262770708835,0.006426465087211655,0.006479305702776789,0.006461039882130721,0.006528851599006458,0.006510046774010099,0.006496800593265685,0.006497784458884012,0.006485815481087735,0.006493501680513903,0.006514381625238769,0.006420892553939256,0.0064567234624464025,0.006514388190267583,0.006506182758309378,0.006589470279374575,0.006469314092163192,0.006379544921824114,0.006372737814634883,0.006445580192025354,0.006532238704887031,0.006362917295148361,0.006436237883015787,0.0064562943516943555,0.00645505894053917,0.0064255703388872406,0.0064423155772426926,0.006525263170705729,0.00660584314277318,0.006605540488758332,0.0066610104703923945,0.006737687872376614,0.006641374506434116,0.006647706179631854,0.006451724434003589,0.006350536688746263,0.0063409998957942425,0.006548771098544815,0.00656378174847595,0.006600152464622074,0.006701496788431985,0.006702198981025985,0.006599488248559696,0.006598651291724607,0.006596652077323876,0.006616666348207621,0.006617232465625353,0.006745101429976281,0.0067454101822187525
SCM,20.239853481023736,12.50513994549744,4.774101269085351,3.049438852398838,1.8328712006777919,1.0813649402816317,0.35184184105762184,0.1546875602470433,0.06572385750791572,0.037010115748180326,0.02979226848783765,0.0276710070689193,0.02698488155730616,0.026606497015014708,0.02630532668968716,0.02589645293221632,0.026048992354570335,0.025440670380781065,0.029819125412559433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
