,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_linear,20.239853481023736,14.259947890701723,8.922934219112923,6.172739277100798,6.405544865421573,7.424430133769647,7.26010896478584,7.416891983054241,7.466022183923025,7.488543586447447,7.495458103259598,7.502850568966201,7.507363182864003,7.516293267216196,7.542418612268893,7.566138565216835,7.597514545058051,7.617853480324759,7.668765392002637,7.6676196937286765,7.837801643943834,7.843229452196553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW_nonlinear,20.239853481023736,12.478478197050459,4.099819735435138,1.8333282749249746,1.1599985629575023,0.20172494122316512,0.0241081639027545,0.03593600248738483,0.030243984161505023,0.036199610161891986,0.038931593483589474,0.04134647075732721,0.043570892837475096,0.04357190066944729,0.04773818977185347,0.046600053519720144,0.04821538716518165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS,20.239853481023736,14.313996616050156,9.216151118710421,6.28826522177772,6.460763848391897,7.339328310482872,7.430455416996142,7.600609859932709,7.659653314687828,7.687552635026013,7.700958229357252,7.706503580003012,7.709692595698628,7.715207913199709,7.710052919953737,7.694690376719166,7.7206674656987895,7.741476103392546,7.747203051947408,7.861101835149417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT,20.239853481023736,12.48153049965792,4.296921040670048,1.901559969029544,1.266813729770488,0.20622810618354767,0.046184647045783435,0.007277089190566447,0.004445414587412072,0.003812023603055515,0.003436915732884424,0.0032233279478711707,0.0031809023229652884,0.0031236793339900933,0.0031211748939470305,0.0031298937461652077,0.003122613352318166,0.003118086961944465,0.0031170903068438753,0.0031235361935655266,0.0031348860471171296,0.003153293528322665,0.00313934940797598,0.003133537405797248,0.0031245279956620127,0.0031279983217150616,0.0031262828705562974,0.0031235504569833454,0.0031138980785690865,0.0031117963622367376,0.0031132516467510998,0.003061131007050439,0.0030771478513685075,0.00304409395274061,0.0030691660089980552,0.0030343892705121047,0.003034633295767957,0.0030371651410189696,0.003039636413306329,0.0031199046482978396,0.0031591970171649802,0.0031548107580391775,0.0031602336565926927,0.003159795413699626,0.003158152400522339,0.003116014230457684,0.003158284369639778,0.0030863583697511867,0.0030271852354120067,0.0030262174446841154,0.0029938571035594387,0.0029791954547277156,0.002971073940318567,0.0029713362788880773,0.002970958221641455,0.002988656368824124,0.0030254910373631013,0.003078120567484366,0.0030753073878360578,0.0030796939555464906,0.0030539611956357793,0.002978226679860843,0.002982510900602662,0.0029466607937253817,0.00293797825366746,0.002931100459249807,0.002920005937721775,0.002975773571421282,0.0030490075959381403,0.0030344889638017135,0.003114729087291259,0.0030800943454691193,0.0031738941485333983,0.0031621313711306435,0.0031392442914206977,0.003121586345861224,0.003086232518815777,0.003062765856392633,0.003017784531921975,0.003006344647398519,0.0030368996466129373,0.002990101654693509,0.0029755732883484424,0.0029235166104334487,0.0029177288986863914,0.002913176639737319,0.002900192555920419,0.00289072292912125,0.0028882090868455525,0.0031341861169475863,0.003272214633944069,0.0030238699506579805,0.0029368827548494187,0.0029365753595568655,0.0029324305190349402,0.0029321850110653894,0.0029322247203209173,0.002924073501434695,0.0029240202253966686,0.0029199257179331134,0.002919921479601439
SCM,20.239853481023736,12.499100890150082,4.679864873400574,2.885707357512205,1.0750914115274979,0.5721868363497367,0.03408891501919767,0.018827355565018373,0.016441987421012424,0.016235037140023858,0.016796491432699512,0.016801450366348582,0.01684464091337768,0.01691234860820415,0.016940787785341645,0.016498688043398567,0.0183137328383872,0.021302288276326548,0.02317306124313435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
