n_samples,SCM,LW_linear,OAS,LW_nonlinear,RMT
65,69.9529340628551,48.18403548419778,48.81723420714472,27.116042810693752,9.847780242354542
68,54.139753237574595,47.39371306400741,48.010299975920354,22.242292775589284,9.08087941977742
80,29.85309302376128,44.4483851116391,44.93450229501576,19.074797873290844,6.541043570814701
100,16.295681526880056,40.25157444923779,40.61007495229079,12.929491322398171,4.5023505082725235
150,6.823420995446604,32.5450607196298,32.75441062782719,6.513547726167958,2.613148816919793
200,4.004972324601507,27.31137825206477,27.445092505944185,4.438295537246171,1.848887847996316
300,2.035656506362118,20.65883023521506,20.590414755386288,2.282112947717498,1.1681409256878752
