n_samples,SCM,LW_linear,OAS,LW_nonlinear,RMT
65,67.02109882318226,47.19030593179819,47.83197889925431,19.21403485467545,9.120696559410149
68,52.12423914182004,46.420057817344066,47.03868746245969,20.848543464004393,8.548743714097997
80,28.611435303967536,43.43895467692179,43.952726501752736,18.23329809251874,6.235222657814105
100,15.589115379299443,39.52060460501634,39.85208839090345,12.292950773475441,4.235911375823388
150,6.408283569572468,31.908826756919293,32.123751916281634,6.1617649834117865,2.4975591757685196
200,3.786375685723358,26.87155626613566,26.99430610759392,3.9497029903096053,1.738868133879424
300,1.9185772193196322,20.232058039782373,20.247958436433443,2.098995488474701,1.1177439577994794
