n_samples,SCM,LW_linear,OAS,LW_nonlinear,RMT
65,73.22474459199167,49.08064602337593,49.777765399308294,61.162874315634234,10.56171125623065
68,56.16310937205371,48.340309064844384,49.056000070623455,23.782670155284592,9.574504145817755
80,31.274761798498723,45.39672950220017,45.87303984920852,20.13569989170689,6.9555556748486715
100,17.146660244567833,41.04414923591439,41.35967729276655,13.56344805438105,4.784164661011902
150,7.245876726009921,33.10277470325732,33.29097034691838,6.75169677869756,2.755383324415697
200,4.180324457044431,27.742728927178597,27.862191264417966,4.372335882037094,1.9502614435399703
300,2.1583780538040687,20.85596278725775,20.91791482624779,2.3708876516528203,1.2223866378964507
