n_matrices,SCM,LW_linear,OAS,LW_nonlinear,RMT
3,7.7318767540949835,16.083173779190727,17.166033729210163,3.7201557468464856,4.777065811531152
5,5.430347222708872,15.49529910187576,16.59655144292717,2.7966008096442896,2.5459921194422184
20,3.1312167996648532,14.352497063012999,15.639146164437994,1.550887444948801,0.5532272558788652
30,2.815102825700143,14.189094682904425,15.567090815725317,1.395407229125606,0.39126516336705147
40,2.6417646216792905,14.093266752380295,15.491363003343077,1.2819363970855822,0.2779661796525694
60,2.5312614375958957,13.936307550416087,15.341191560852591,1.194764465207266,0.1965393345223028
80,2.429628802459024,13.846547359673345,15.26635324832585,1.157491532572068,0.15524883774029977
100,2.3274299105081044,13.782785339793538,15.252410181269742,1.092792434989966,0.12621018547055873
1000,2.0150232627673392,13.510412973243277,14.994663465012746,0.9132747361346838,0.02264403589029681
10000,1.929014114575228,13.405217305835148,14.909591422591859,0.8594371372776344,0.011200243646096475
