n_matrices,SCM,LW_linear,OAS,LW_nonlinear,RMT
3,4.217302465021968,13.698204192847715,15.062684514776102,2.0955553413379797,2.6007883112401715
5,3.26880330232017,13.545525648785423,15.004471453723864,1.6069254133185567,1.4626709806789102
20,2.2198516239687187,13.398446588775258,14.898321208652234,1.0215579920964928,0.33654830694453397
30,2.114946840035254,13.387167340277053,14.88477288852977,0.9560049311277384,0.22757670128379257
40,2.047874423168713,13.39289584147659,14.896787489611288,0.9183125581994,0.1672070452418248
60,2.005011790448756,13.369417407751811,14.87828085343775,0.8939846278874193,0.11551987274889655
80,1.9781805141188593,13.365465707187143,14.877201797420737,0.8821779094885133,0.08828342439121388
100,1.9469883274172621,13.354158605422215,14.875428705418088,0.8752824318019826,0.07076465372150897
1000,1.8692687779949753,13.357958356962806,14.872314388638923,0.8394446096718956,0.014468975220009032
10000,1.8714218055583212,13.35466801041949,14.871398075461519,0.8354665537606274,0.008738881204650413
