n_matrices,SCM,LW_linear,OAS,LW_nonlinear,RMT
3,1.7827542506651004,11.463315012274816,13.195128752322653,0.8566269540846074,1.2327077329932778
5,1.5086196371857912,11.672242037703896,13.465251031539367,0.7115382237968421,0.6724603489366795
20,1.4493146921911697,12.433569994367074,14.142725865054013,0.5568451799104059,0.15498353028424589
30,1.437657526896272,12.54023936105215,14.200977501093542,0.5841443265467618,0.10723572800176547
40,1.4715481618677444,12.71001130850433,14.342218307223323,0.6015669632932887,0.08167944945547219
60,1.5048382857155571,12.803664510477057,14.44855157511548,0.6288327743863855,0.05392719002941342
80,1.5244684160879236,12.870152369323705,14.507787997235992,0.6394900922089314,0.0422099879393748
100,1.5661624008277533,12.914994041684535,14.533200709412116,0.6525449062773965,0.03495744591373438
1000,1.2847559308016068,13.20732654552262,14.76086175324224,0.7685641162397643,0.007363230253532415
10000,1.843378091433386,13.305315392283118,14.831214580561937,0.8117033906181855,0.006653344410987108
